track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3VlbOrM6nYPprVvzBZllE5,Too Good At Goodbyes,2wY79sveU1sp5g7SokKOiI,Sam Smith,3XftSbguntyRTBQaGItmfK,201000,2017-11-03,76,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4JehYebiI9JE8sR8MisGVb,Halo,6vWDO969PvNqNYHIOW5v0m,Beyoncé,39P7VD7qlg3Z0ltq60eHp7,261640,2008-11-17,75,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1gVgkQFOKa8Wc1HYsJtPdH,More Than Words,6w7j5wQ5AI5OQYlcM15s2L,Extreme,7DKHQxJTI32UyCdDdGwvRC,334106,1990-01-01,75,0.626,0.134,6,-14.898,1,0.0298,0.467,0.0,0.113,0.239,91.893,37i9dQZF1DWYMvTygsLWlG,Love Ballads
54X78diSLoUDI3joC2bjMz,Purple Rain,5a2EaR3hamoenG9rDuVn8j,Prince,7nXJ5k4XgRj5OLg9m8V3zc,520786,1984-06-25,75,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2qhASBzpbFhPRtrnZ5lLnz,Unchained Melody,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,0oeMysdC6eeivvWbvQ9JNm,218013,1965-04-04,75,0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4Hhv2vrOTy89HFRcjU3QOx,At Last,0iOVhN3tnSvgDbcg25JoJb,Etta James,7rd4PorIOPjPTy7qdUeeCt,179693,1960,75,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,0NVQ9k3wKmuK6T02lLMl6y,182160,2018-11-08,75,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,37i9dQZF1DWYMvTygsLWlG,Love Ballads
63CHa6rmamv9OsehkRD8oz,Against All Odds (Take a Look at Me Now) - 2016 Remaster,4lxfqrEsLX6N1N4OCSkILp,Phil Collins,7yZHLfxqiGPbSQLrVJljah,206360,2016-10-14,75,0.58,0.498,1,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6RNDeRnWsRMjPdNVgupZCs,I Just Called To Say I Love You,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,04giHQ9zptJUHUvtIyxL9Z,262240,1999-11-23,75,0.748,0.551,1,-9.054,1,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,37i9dQZF1DWYMvTygsLWlG,Love Ballads
31H6au3jhblhr6MMJiXnCq,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",2ekjTXgjxbWwBX5lTAj4DU,Eric Carmen,02CxAhdSRhzcm6XQ8m5RNp,251066,1997,75,0.712,0.549,5,-9.484,1,0.0254,0.011,0.0,0.118,0.552,109.882,37i9dQZF1DWYMvTygsLWlG,Love Ballads
