,album_id,album_name,release_date_x,artist_name_x,track_id,track_name,artist_name_y,release_date_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
31,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,0196yM0Cf8ss46XH2ap7WA,Kapag Ako Ay Nagmahal - Minus One,Morissette,2015-01-01,0.215,0.242,9,-11.694,1,0.0303,0.136,0.772,0.156,0.139,145.302,audio_features,0196yM0Cf8ss46XH2ap7WA,spotify:track:0196yM0Cf8ss46XH2ap7WA,https://api.spotify.com/v1/tracks/0196yM0Cf8ss46XH2ap7WA,https://api.spotify.com/v1/audio-analysis/0196yM0Cf8ss46XH2ap7WA,313812,4
32,4Y9ORFmONJauGSoXqiyKAi,Pagbigyang Muli,2022-09-23,Morissette,0IVEvfzbGL0qZYaYG5twx2,Pagbigyang Muli,Morissette,2022-09-23,0.765,0.128,11,-18.212,0,0.132,0.8,0.0,0.104,0.309,124.053,audio_features,0IVEvfzbGL0qZYaYG5twx2,spotify:track:0IVEvfzbGL0qZYaYG5twx2,https://api.spotify.com/v1/tracks/0IVEvfzbGL0qZYaYG5twx2,https://api.spotify.com/v1/audio-analysis/0IVEvfzbGL0qZYaYG5twx2,275184,4
33,5jmkAHm38kIEjH40Veza8F,Undangon Ta Ni,2022-07-31,Morissette,4Ppd8RCEUFIXgvhFhJ566H,Undangon Ta Ni,Morissette,2022-07-31,0.692,0.535,9,-6.921,0,0.0339,0.732,0.000934,0.123,0.632,99.971,audio_features,4Ppd8RCEUFIXgvhFhJ566H,spotify:track:4Ppd8RCEUFIXgvhFhJ566H,https://api.spotify.com/v1/tracks/4Ppd8RCEUFIXgvhFhJ566H,https://api.spotify.com/v1/audio-analysis/4Ppd8RCEUFIXgvhFhJ566H,206139,4
34,2qEpe7vjn1IdsI6rHg9Aoi,Power (Miss Universe Philippines 2022),2022-07-15,Morissette,0WNF8xRRuzppwpHPDouUTs,Power (Miss Universe Philippines 2022),Morissette,2022-07-15,0.514,0.471,3,-11.386,1,0.0437,0.387,1.69e-05,0.176,0.377,95.182,audio_features,0WNF8xRRuzppwpHPDouUTs,spotify:track:0WNF8xRRuzppwpHPDouUTs,https://api.spotify.com/v1/tracks/0WNF8xRRuzppwpHPDouUTs,https://api.spotify.com/v1/audio-analysis/0WNF8xRRuzppwpHPDouUTs,242524,4
35,1nuPkAbvm2WQKqP2I8myGo,Phoenix (Acoustic Version),2022-03-11,Morissette,55XrtexT77OimgK6k9AIlz,Phoenix - Acoustic Version,Morissette,2022-03-11,0.44,0.409,0,-5.19,1,0.0301,0.776,4.56e-06,0.0724,0.347,79.458,audio_features,55XrtexT77OimgK6k9AIlz,spotify:track:55XrtexT77OimgK6k9AIlz,https://api.spotify.com/v1/tracks/55XrtexT77OimgK6k9AIlz,https://api.spotify.com/v1/audio-analysis/55XrtexT77OimgK6k9AIlz,246750,4
36,05RICu0AxsqrqoiSzzxeyG,"Gusto Ko Nang Bumitaw (From ""The Broken Marriage Vow"")",2022-02-11,Morissette,1FxGqFnJkRgJ5LG2NBRTh3,"Gusto Ko Nang Bumitaw - From ""The Broken Marriage Vow""",Morissette,2022-02-11,0.699,0.385,1,-11.045,1,0.0427,0.693,0.41,0.094,0.274,129.845,audio_features,1FxGqFnJkRgJ5LG2NBRTh3,spotify:track:1FxGqFnJkRgJ5LG2NBRTh3,https://api.spotify.com/v1/tracks/1FxGqFnJkRgJ5LG2NBRTh3,https://api.spotify.com/v1/audio-analysis/1FxGqFnJkRgJ5LG2NBRTh3,271846,4
37,2SEG5KY1qzrRb89ODOSDmy,From The Sea,2022-01-28,From The Sea,3EOTzEBSuUQKOyzZhQrHVe,Free,From The Sea,2022-01-28,0.471,0.63,5,-7.11,1,0.039,0.278,0.000744,0.102,0.586,188.277,audio_features,3EOTzEBSuUQKOyzZhQrHVe,spotify:track:3EOTzEBSuUQKOyzZhQrHVe,https://api.spotify.com/v1/tracks/3EOTzEBSuUQKOyzZhQrHVe,https://api.spotify.com/v1/audio-analysis/3EOTzEBSuUQKOyzZhQrHVe,247340,3
38,2SEG5KY1qzrRb89ODOSDmy,From The Sea,2022-01-28,From The Sea,2iHW0GDcRdrEST8PPu1u76,Up And Away,From The Sea,2022-01-28,0.61,0.674,8,-5.425,1,0.1,0.245,0.0,0.234,0.598,146.094,audio_features,2iHW0GDcRdrEST8PPu1u76,spotify:track:2iHW0GDcRdrEST8PPu1u76,https://api.spotify.com/v1/tracks/2iHW0GDcRdrEST8PPu1u76,https://api.spotify.com/v1/audio-analysis/2iHW0GDcRdrEST8PPu1u76,174247,4
39,2SEG5KY1qzrRb89ODOSDmy,From The Sea,2022-01-28,From The Sea,60z9s8AGBSnNyIXE2VQkbh,True North,From The Sea,2022-01-28,0.344,0.578,4,-6.623,1,0.0484,0.378,0.00123,0.0838,0.265,97.375,audio_features,60z9s8AGBSnNyIXE2VQkbh,spotify:track:60z9s8AGBSnNyIXE2VQkbh,https://api.spotify.com/v1/tracks/60z9s8AGBSnNyIXE2VQkbh,https://api.spotify.com/v1/audio-analysis/60z9s8AGBSnNyIXE2VQkbh,216537,4
40,2SEG5KY1qzrRb89ODOSDmy,From The Sea,2022-01-28,From The Sea,0RSVWDuassbABQo2qqqYiI,Luna,From The Sea,2022-01-28,0.592,0.436,7,-8.589,1,0.0297,0.632,3.18e-06,0.109,0.189,136.86,audio_features,0RSVWDuassbABQo2qqqYiI,spotify:track:0RSVWDuassbABQo2qqqYiI,https://api.spotify.com/v1/tracks/0RSVWDuassbABQo2qqqYiI,https://api.spotify.com/v1/audio-analysis/0RSVWDuassbABQo2qqqYiI,227737,4
41,7hTQ3O7l6TMD90cUWdnYTz,Signature: Live!,2021-12-17,Morissette,7jhgi2qn2zzGoWMCuGz1V8,Trophy - Live,Morissette,2021-12-17,0.395,0.705,3,-7.279,0,0.135,0.0675,0.0,0.125,0.65,158.847,audio_features,7jhgi2qn2zzGoWMCuGz1V8,spotify:track:7jhgi2qn2zzGoWMCuGz1V8,https://api.spotify.com/v1/tracks/7jhgi2qn2zzGoWMCuGz1V8,https://api.spotify.com/v1/audio-analysis/7jhgi2qn2zzGoWMCuGz1V8,194281,4
42,7hTQ3O7l6TMD90cUWdnYTz,Signature: Live!,2021-12-17,Morissette,4q8nesRExcUryXjwUrarD9,Mirror - Live,Morissette,2021-12-17,0.552,0.525,6,-10.046,0,0.0426,0.59,1.02e-05,0.374,0.442,139.886,audio_features,4q8nesRExcUryXjwUrarD9,spotify:track:4q8nesRExcUryXjwUrarD9,https://api.spotify.com/v1/tracks/4q8nesRExcUryXjwUrarD9,https://api.spotify.com/v1/audio-analysis/4q8nesRExcUryXjwUrarD9,183143,4
43,7hTQ3O7l6TMD90cUWdnYTz,Signature: Live!,2021-12-17,Morissette,7mKuu22r4lgsrmdJMUWk6p,Will You Stay - Live,Morissette,2021-12-17,0.434,0.489,6,-6.924,1,0.0407,0.714,0.000318,0.139,0.232,129.742,audio_features,7mKuu22r4lgsrmdJMUWk6p,spotify:track:7mKuu22r4lgsrmdJMUWk6p,https://api.spotify.com/v1/tracks/7mKuu22r4lgsrmdJMUWk6p,https://api.spotify.com/v1/audio-analysis/7mKuu22r4lgsrmdJMUWk6p,244625,3
44,7hTQ3O7l6TMD90cUWdnYTz,Signature: Live!,2021-12-17,Morissette,5B3Ord50gJNuGWB7pjQKGb,Love You Still - Live,Morissette,2021-12-17,0.453,0.471,1,-9.881,0,0.0324,0.327,1.33e-05,0.157,0.213,140.094,audio_features,5B3Ord50gJNuGWB7pjQKGb,spotify:track:5B3Ord50gJNuGWB7pjQKGb,https://api.spotify.com/v1/tracks/5B3Ord50gJNuGWB7pjQKGb,https://api.spotify.com/v1/audio-analysis/5B3Ord50gJNuGWB7pjQKGb,268625,4
45,7hTQ3O7l6TMD90cUWdnYTz,Signature: Live!,2021-12-17,Morissette,1gxPEdtZhPwW9df48IwVuO,Phoenix - Live,Morissette,2021-12-17,0.45,0.482,0,-8.793,1,0.0371,0.457,2.68e-06,0.11,0.136,84.976,audio_features,1gxPEdtZhPwW9df48IwVuO,spotify:track:1gxPEdtZhPwW9df48IwVuO,https://api.spotify.com/v1/tracks/1gxPEdtZhPwW9df48IwVuO,https://api.spotify.com/v1/audio-analysis/1gxPEdtZhPwW9df48IwVuO,235386,4
46,15VKUmSwQUtEtXhi7XNUM9,WATERWALK,2021-10-28,Morissette,3bqym1jA6fn0hpg7CZsUYI,WATERWALK,Morissette,2021-10-28,0.537,0.454,9,-9.34,1,0.0401,0.219,0.000846,0.141,0.174,119.962,audio_features,3bqym1jA6fn0hpg7CZsUYI,spotify:track:3bqym1jA6fn0hpg7CZsUYI,https://api.spotify.com/v1/tracks/3bqym1jA6fn0hpg7CZsUYI,https://api.spotify.com/v1/audio-analysis/3bqym1jA6fn0hpg7CZsUYI,355123,4
47,2pAPyuSNRYzYUVQq0f5nXs,Signature,2021-08-20,Morissette,43mc2GERIcceUYKR94WFJJ,Love You Still,Morissette,2021-08-20,0.526,0.476,1,-6.691,0,0.0286,0.513,0.0,0.132,0.239,139.894,audio_features,43mc2GERIcceUYKR94WFJJ,spotify:track:43mc2GERIcceUYKR94WFJJ,https://api.spotify.com/v1/tracks/43mc2GERIcceUYKR94WFJJ,https://api.spotify.com/v1/audio-analysis/43mc2GERIcceUYKR94WFJJ,267823,4
48,2pAPyuSNRYzYUVQq0f5nXs,Signature,2021-08-20,Morissette,2R9BxgBh1znGeOFhnj5tAm,Trophy,Morissette,2021-08-20,0.572,0.679,10,-6.933,0,0.14,0.00768,0.0,0.364,0.55,159.777,audio_features,2R9BxgBh1znGeOFhnj5tAm,spotify:track:2R9BxgBh1znGeOFhnj5tAm,https://api.spotify.com/v1/tracks/2R9BxgBh1znGeOFhnj5tAm,https://api.spotify.com/v1/audio-analysis/2R9BxgBh1znGeOFhnj5tAm,187995,4
