track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
4Hhv2vrOTy89HFRcjU3QOx,At Last,75,179693,0iOVhN3tnSvgDbcg25JoJb,Etta James,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,75,182160,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
63CHa6rmamv9OsehkRD8oz,Against All Odds (Take a Look at Me Now) - 2016 Remaster,75,206360,4lxfqrEsLX6N1N4OCSkILp,Phil Collins,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6RNDeRnWsRMjPdNVgupZCs,I Just Called To Say I Love You,75,262240,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
31H6au3jhblhr6MMJiXnCq,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",75,251066,2ekjTXgjxbWwBX5lTAj4DU,Eric Carmen,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
31er9IGsfFbwqy1pH4aiTP,I Have Nothing,75,289160,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
225xvV8r1yKMHErSWivnow,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",75,298760,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
33LC84JgLvK2KuW43MfaNq,"My Heart Will Go On - Love Theme from ""Titanic""",75,280000,4S9EykWXhStSc15wEx8QFK,Céline Dion,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,74,199396,3dkbV4qihUeMsqN4vBGg93,Al Green,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
54b8qPFqYqIndfdxiLApea,Alone,74,218733,34jw2BbxjoYalTp8cJFCPv,Heart,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
013AWvizllIUEC2FOBzOnh,Truly Madly Deeply,74,277266,3NRFinRTEqUCfaTTZmk8ek,Savage Garden,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
3ZP18us6p6LHOZMG1LLUjF,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",74,241093,1LZEQNv7sE11VDY3SdxQeN,Bee Gees,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1zng9uqqXoPkmU05nsAlsw,Bed Of Roses,74,394400,58lV9VcRSjABbAbfWS6skp,Bon Jovi,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0e3yhVeNaTfKIWQRw9U9sY,Sacrifice,74,304133,3PhoLpVuITZKcymswpck5b,Elton John,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
36lkJSDyMEZoWTqtRj8Q8q,You're the Inspiration - 2006 Remaster,73,229240,3iDD7bnsjL9J4fO298r0L0,Chicago,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
5FgPwJ7Nh2FVmIXviKl2VF,Make You Feel My Love,73,212040,4dpARuHxo51G3z768sgnrY,Adele,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2aBxt229cbLDOvtL7Xbb9x,Always Be My Baby,73,258133,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
28UMiBhn383n9S7GL4tsxD,"Because You Loved Me (Theme from ""Up Close and Personal"")",74,273666,4S9EykWXhStSc15wEx8QFK,Céline Dion,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
